1,-3.19197,55.94618,150,-3.19182,55.94592,null
2,-3.19182,55.94592,210,-3.19197,55.94566,null
3,-3.19197,55.94566,210,-3.19212,55.9454,null
4,-3.19212,55.9454,210,-3.19227,55.94514,useful.hike.trades
5,-3.19227,55.94514,90,-3.19197,55.94514,null
6,-3.19197,55.94514,90,-3.19167,55.94514,hills.feels.tunes
7,-3.19167,55.94514,30,-3.19152,55.9454,null
8,-3.19152,55.9454,30,-3.19137,55.94566,skins.engage.best
9,-3.19137,55.94566,90,-3.19107,55.94566,null
10,-3.19107,55.94566,90,-3.19077,55.94566,null
11,-3.19077,55.94566,150,-3.19062,55.9454,jump.crop.fits
12,-3.19062,55.9454,30,-3.19047,55.94566,null
13,-3.19047,55.94566,30,-3.19032,55.94592,null
14,-3.19032,55.94592,30,-3.19017,55.94618,null
15,-3.19017,55.94618,90,-3.18987,55.94618,love.behind.orchestra
16,-3.18987,55.94618,150,-3.18972,55.94592,null
17,-3.18972,55.94592,90,-3.18942,55.94592,null
18,-3.18942,55.94592,90,-3.18912,55.94592,null
19,-3.18912,55.94592,150,-3.18897,55.94566,stops.else.chats
20,-3.18897,55.94566,30,-3.18882,55.94592,null
21,-3.18882,55.94592,30,-3.18867,55.94618,boost.radar.stress
22,-3.18867,55.94618,90,-3.18837,55.94618,null
23,-3.18837,55.94618,90,-3.18807,55.94618,null
24,-3.18807,55.94618,90,-3.18777,55.94618,null
25,-3.18777,55.94618,150,-3.18762,55.94592,null
26,-3.18762,55.94592,90,-3.18732,55.94592,slips.mass.baking
27,-3.18732,55.94592,90,-3.18702,55.94592,null
28,-3.18702,55.94592,150,-3.18687,55.94566,null
29,-3.18687,55.94566,90,-3.18657,55.94566,null
30,-3.18657,55.94566,90,-3.18627,55.94566,posts.kicked.universally
31,-3.18627,55.94566,90,-3.18597,55.94566,null
32,-3.18597,55.94566,150,-3.18582,55.9454,null
33,-3.18582,55.9454,90,-3.18552,55.9454,null
34,-3.18552,55.9454,90,-3.18522,55.9454,null
35,-3.18522,55.9454,90,-3.18492,55.9454,null
36,-3.18492,55.9454,90,-3.18462,55.9454,settle.title.united
37,-3.18462,55.9454,270,-3.18492,55.9454,null
